Id,Prediction
1,0
2,0.00939
3,0
4,0.09375
5,0.018108
6,0.020211
7,0.003018
8,0.011718
9,0.005964
10,0
11,0
12,0.014151
13,0
14,0.009804
15,0.0059925
16,0
17,0
18,0
19,0.0014775
20,0.127659
21,0
22,0
23,0
24,0.002985
25,0
26,0.008334
27,0
28,0.038106
29,0.0123765
30,0.01551
31,0
32,0
33,0.0013005
34,0.9473685
35,0
36,0.0071595
37,0
38,0
39,0
40,0
41,0.001992
42,0.01461
43,0
44,0
45,0.010377
46,0.0063555
47,0
48,0.0001635
49,0.28125
50,0.006726
51,0.0312165
52,0.0278325
53,0.005514
54,0.0083955
55,0
56,0.0154635
57,0.0016635
58,0
59,0.022446
60,0.007254
61,0.041322
62,0
63,0.0265245
64,0
65,0
66,0.0008295
67,0.0181275
68,0
69,0.008631
70,0.0222765
71,0
72,0.011718
73,0
74,0.010896
75,0.0002565
76,0.008928
77,0.0045195
78,0.000153
79,0.0370365
80,0.026661
81,0.0094335
82,0.037392
83,0.001521
84,0
85,0
86,0
87,0
88,0.1338285
89,0.0874995
90,0
91,0
92,0
93,0
94,0.0269235
95,0.0189435
96,0
97,0.010044
98,0
99,0
100,0
101,0
102,0
103,0.0052455
104,0
105,0.004335
106,0.0071775
107,0
108,0.0017235
109,0
110,0
111,0
112,0.0032295
113,0.0090915
114,0
115,0.0144075
116,0
117,0.0225675
118,0
119,0
120,0
121,0.0292215
122,0.002022
123,0.2654865
124,0.052632
125,0.1125
126,0
127,0.0020805
128,0
129,0
130,0.0060735
131,0
132,0.015306
133,0.003018
134,0
135,0
136,0.027273
137,0
138,0.008064
139,0.0059055
140,0
141,0
142,0.000768
143,0
144,0
145,0.0002715
146,0.019737
147,0
148,0.0037575
149,0.0064695
150,0.002226
151,0
152,0.0060975
153,0.0148515
154,0.016164
155,0
156,0.001077
157,0.023595
158,0
159,0
160,0
161,0.0079785
162,0.083577
163,0
164,0
165,0
166,0.0265485
167,0
168,0.0405405
169,0.021978
